frame_index,ball_x,ball_y,dx,dy,distance_from_center
878,47,62,-17,-2,17.11724276862369
879,46,62,-18,-2,18.110770276274835
880,45,62,-19,-2,19.1049731745428
881,77,79,13,15,19.849433241279208
882,44,62,-20,-2,20.09975124224178
883,76,82,12,18,21.633307652783937
884,90,35,26,-29,38.948684188300895
885,75,83,11,19,21.95449840010015
886,66,64,2,0,2.0
887,65,64,1,0,1.0
888,64,64,0,0,0.0
889,39,62,-25,-2,25.079872407968907
890,63,63,-1,-1,1.4142135623730951
891,74,86,10,22,24.166091947189145
892,62,62,-2,-2,2.8284271247461903
893,61,61,-3,-3,4.242640687119285
894,60,60,-4,-4,5.656854249492381
895,61,59,-3,-5,5.830951894845301
896,74,86,10,22,24.166091947189145
897,34,55,-30,-9,31.32091952673165
898,82,26,18,-38,42.04759208325728
899,34,53,-30,-11,31.953090617340916
900,59,54,-5,-10,11.180339887498949
901,58,53,-6,-11,12.529964086141668
902,33,50,-31,-14,34.0147027033899
903,75,84,11,20,22.825424421026653
904,32,48,-32,-16,35.77708763999664
905,75,84,11,20,22.825424421026653
906,30,46,-34,-18,38.47076812334269
907,31,45,-33,-19,38.07886552931954
908,30,44,-34,-20,39.44616584663204
909,55,44,-9,-20,21.93171219946131
910,75,81,11,17,20.248456731316587
911,54,41,-10,-23,25.079872407968907
912,54,40,-10,-24,26.0
913,75,80,11,16,19.4164878389476
914,53,37,-11,-27,29.154759474226502
915,28,34,-36,-30,46.861498055439924
916,53,34,-11,-30,31.953090617340916
917,53,33,-11,-31,32.89376840679705
918,53,32,-11,-32,33.83784863137726
919,76,78,12,14,18.439088914585774
920,53,30,-11,-34,35.73513677041127
921,27,28,-37,-36,51.62363799656123
922,52,29,-12,-35,37.0
923,76,80,12,16,20.0
924,52,28,-12,-36,37.94733192202055
925,76,80,12,16,20.0
926,76,81,12,17,20.808652046684813
927,50,26,-14,-38,40.496913462633174
928,75,81,11,17,20.248456731316587
929,75,81,11,17,20.248456731316587
930,75,81,11,17,20.248456731316587
931,49,23,-15,-41,43.657759905886145
932,47,22,-17,-42,45.31004303683677
933,74,81,10,17,19.72308292331602
934,74,82,10,18,20.591260281974
935,74,82,10,18,20.591260281974
936,21,19,-43,-45,62.24146527838174
937,73,82,9,18,20.12461179749811
938,45,19,-19,-45,48.84669896727925
939,73,83,9,19,21.02379604162864
940,20,17,-44,-47,64.38167441127949
941,72,83,8,19,20.615528128088304
942,43,15,-21,-49,53.31041174104736
943,43,14,-21,-50,54.230987451824994
944,18,12,-46,-52,69.42621983083913
945,72,81,8,17,18.788294228055936
946,18,10,-46,-54,70.9365914038728
947,42,9,-22,-55,59.23681287847955
948,41,8,-23,-56,60.53924347066124
949,41,7,-23,-57,61.465437442517235
950,41,6,-23,-58,62.39390995922599
951,17,5,-47,-59,75.43208866258443
952,73,80,9,16,18.35755975068582
953,74,80,10,16,18.867962264113206
954,41,3,-23,-61,65.19202405202648
955,74,81,10,17,19.72308292331602
956,74,81,10,17,19.72308292331602
957,16,1,-48,-63,79.20227269466452
958,74,81,10,17,19.72308292331602
959,74,81,10,17,19.72308292331602
960,74,81,10,17,19.72308292331602
961,74,81,10,17,19.72308292331602
962,74,81,10,17,19.72308292331602
963,74,80,10,16,18.867962264113206
964,74,80,10,16,18.867962264113206
965,74,79,10,15,18.027756377319946
966,74,79,10,15,18.027756377319946
967,75,78,11,14,17.804493814764857
968,76,78,12,14,18.439088914585774
969,76,77,12,13,17.69180601295413
970,76,77,12,13,17.69180601295413
971,76,77,12,13,17.69180601295413
972,77,76,13,12,17.69180601295413
973,77,76,13,12,17.69180601295413
974,77,76,13,12,17.69180601295413
975,78,76,14,12,18.439088914585774
976,78,76,14,12,18.439088914585774
977,76,84,12,20,23.323807579381203
978,78,77,14,13,19.1049731745428
979,78,77,14,13,19.1049731745428
980,78,77,14,13,19.1049731745428
981,78,78,14,14,19.79898987322333
982,78,78,14,14,19.79898987322333
983,78,78,14,14,19.79898987322333
984,71,80,7,16,17.46424919657298
985,79,78,15,14,20.518284528683193
986,79,78,15,14,20.518284528683193
987,79,78,15,14,20.518284528683193
988,80,78,16,14,21.2602916254693
989,77,78,13,14,19.1049731745428
990,80,79,16,15,21.93171219946131
991,80,79,16,15,21.93171219946131
992,81,79,17,15,22.67156809750927
993,81,80,17,16,23.345235059857504
994,81,80,17,16,23.345235059857504
995,81,80,17,16,23.345235059857504
996,80,80,16,16,22.627416997969522
997,80,81,16,17,23.345235059857504
998,80,81,16,17,23.345235059857504
999,80,81,16,17,23.345235059857504
1000,80,80,16,16,22.627416997969522
1001,79,79,15,15,21.213203435596427
1002,79,79,15,15,21.213203435596427
1003,79,79,15,15,21.213203435596427
1004,79,79,15,15,21.213203435596427
1005,78,78,14,14,19.79898987322333
1006,79,78,15,14,20.518284528683193
1007,78,78,14,14,19.79898987322333
1008,78,78,14,14,19.79898987322333
1009,78,78,14,14,19.79898987322333
1010,77,79,13,15,19.849433241279208
1011,76,79,12,15,19.209372712298546
1012,76,80,12,16,20.0
1013,76,80,12,16,20.0
1014,75,81,11,17,20.248456731316587
1015,74,81,10,17,19.72308292331602
1016,73,80,9,16,18.35755975068582
1017,73,81,9,17,19.235384061671343
1018,72,81,8,17,18.788294228055936
1019,71,80,7,16,17.46424919657298
1020,70,80,6,16,17.08800749063506
1021,70,80,6,16,17.08800749063506
1022,70,80,6,16,17.08800749063506
1023,69,80,5,16,16.76305461424021
1024,69,80,5,16,16.76305461424021
1025,68,80,4,16,16.492422502470642
1026,68,81,4,17,17.46424919657298
1027,68,81,4,17,17.46424919657298
1028,67,82,3,18,18.24828759089466
1029,67,83,3,19,19.235384061671343
1030,67,84,3,20,20.223748416156685
1031,66,84,2,20,20.09975124224178
1032,66,85,2,21,21.095023109728988
1033,64,90,0,26,26.0
1034,64,90,0,26,26.0
1035,64,90,0,26,26.0
1036,64,91,0,27,27.0
1037,63,91,-1,27,27.018512172212592
1038,64,92,0,28,28.0
1039,63,92,-1,28,28.0178514522438
1040,63,92,-1,28,28.0178514522438
1041,63,93,-1,29,29.017236257093817
1042,63,94,-1,30,30.01666203960727
1043,64,94,0,30,30.0
1044,64,95,0,31,31.0
1045,64,96,0,32,32.0
1046,64,97,0,33,33.0
1047,64,103,0,39,39.0
1048,64,104,0,40,40.0
1049,64,105,0,41,41.0
1050,64,106,0,42,42.0
1051,64,107,0,43,43.0
1052,64,108,0,44,44.0
1053,63,109,-1,45,45.0111097397076
1054,63,110,-1,46,46.010868281309364
1055,63,110,-1,46,46.010868281309364
1056,63,111,-1,47,47.01063709417264
1057,62,112,-2,48,48.041648597857254
1058,62,113,-2,49,49.040799340956916
1059,62,113,-2,49,49.040799340956916
1060,62,114,-2,50,50.039984012787215
1061,62,115,-2,51,51.03920062069938
1062,62,115,-2,51,51.03920062069938
1063,61,116,-3,52,52.08646657242167
1064,61,117,-3,53,53.08483775994799
1065,62,117,-2,53,53.03772242470448
1066,62,118,-2,54,54.037024344425184
1067,62,119,-2,55,55.036351623268054
1068,62,120,-2,56,56.0357029044876
1069,62,121,-2,57,57.0350769263968
1070,62,122,-2,58,58.034472514187634
1071,63,122,-1,58,58.008620049092706
1072,63,123,-1,59,59.00847396772772
1073,62,123,-2,59,59.033888572581766
1074,62,124,-2,60,60.03332407921454
1075,63,124,-1,60,60.00833275470999
1076,63,124,-1,60,60.00833275470999
1077,63,124,-1,60,60.00833275470999
1078,62,125,-2,61,61.032778078668514
